text,labels_text
"by using this site , you acknowledge that 9gag , inc is not responsible or liable for any harm resulting from ( 1 ) use of the site ; ( 2 ) downloading information contained on the site including but not limited to downloads of content posted by subscribers ; ( 3 ) unauthorized disclosure of images , information or data that results from the upload , download or storage of content posted by subscribers ; ( 4 ) the temporary or permanent inability to access or retrieve any subscriber content from the site , including , without limitation , harm caused by viruses , worms , trojan horses , or any similar contamination or destructive program . 
",Limitation of liability
"some places do not allow limitations on how long an implied warranty lasts , so the above limitations may not apply to subscriber . 
",Other
"users of the site may gain access from the site to third party sites on the internet through hypertext or other computer links on the site . 
",Other
"third party sites are not within the supervision or control of 9gag , inc or the site . 
",Other
"unless explicitly otherwise provided , neither 9gag , inc nor the site make any representation or warranty whatsoever about any third party site that is linked to the site , or endorse the products or services offered on such site . 
",Other
"9gag , inc and the site disclaim : ( a ) all responsibility and liability for content on third party websites and ( b ) any representations or warranties as to the security of any information ( including , without limitation , credit card and other personal information ) you might be requested to give any third party , and you hereby irrevocably waive any claim against the site or 9gag , inc with respect to such sites and third party content . 
",Other
"as a condition to using services , subscriber will be required to register with 9gag , inc and select a password and 9gag , inc url . 
",Other
"subscriber shall provide 9gag , inc with accurate , complete , and updated registration information , including subscriber 's e-mail address . 
",Other
"failure to do so shall constitute a breach of this agreement , which may result in immediate termination of subscriber 's account . 
",Other
"subscriber may not ( a ) select or use as a 9gag , inc url a name of another person with the intent to impersonate that person ; or ( b ) use as a 9gag , inc url a name subject to any rights of a person other than subscriber without appropriate authorization . 
",Other
"9gag , inc reserves the right to refuse registration of , or cancel a 9gag , inc url in its discretion . 
",Other
"subscriber shall be responsible for maintaining the confidentiality of subscriber 's 9gag , inc password . 
",Other
"subscriber is solely responsible for any use of or action taken under subscriber 's password and accepts full responsibility for all activity conducted through subscriber 's account and agrees to and hereby releases the site and 9gag , inc from any and all liability concerning such activity . 
",Other
"subscriber agrees to notify 9gag , inc immediately of any actual or suspected loss , theft , or unauthorized use of subscriber 's account or password . 
",Other
"the site will take reasonably security precautions when using the internet , telephone or other means to transport date or other communications , but expressly disclaims any and all liability for the accessing of any such data communications by unauthorized persons or entities . 
",Other
"subscriber will indemnify and hold 9gag , inc , its directors , officers and employees , harmless , including costs and attorneys ' fees , from any claim or demand made by any third party due to or arising out of subscriber 's access to the site , use of the services , the violation of this agreement by subscriber , or the infringement by subscriber , or any third party using the subscriber 's account , of any intellectual property or other right of any person or entity . 
",Other
"in no event shall 9gag , inc , its directors , officers , shareholders , employees or members be liable with respect to the site or the services for ( a ) any indirect , incidental , punitive , or consequential damages of any kind whatsoever ; ( b ) damages for loss of use , profits , data , images , subscriber content or other intangibles ; ( c ) damages for unauthorized use , non-performance of the site , errors or omissions ; or ( d ) damages related to downloading or posting content . 
",Limitation of liability
"9gag , inc 's and the site 's collective liability under this agreement shall be limited to three hundred u.s. dollars . 
",Limitation of liability
"some places do not allow the exclusion or limitation of incidental or consequential damages , so the above limitations and exclusions may not apply to subscriber . 
",Other
"some of the services require payment of fees . 
",Other
"all fees are stated in u.s. dollars . 
",Other
"subscriber shall pay all applicable fees , as described on the site in connection with such services selected by subscriber , and any related taxes or additional charges . 
",Other
"all fees are non-refundable unless expressly stated otherwise on the site . 
",Other
"subscriber represents to 9gag , inc that subscriber is the authorized account holder or an authorized user of the chosen method of payment used to pay for the paid aspects of the services . 
",Other
"all fee-based services and virtual goods are provided `` as is '' with no warranties of any kind . 
",Other
"9gag , inc may modify and/or eliminate such fee-based services at its discretion . 
",Unilateral change
"subscriber understands and agrees that the payment for virtual goods grants subscriber a limited license to use the virtual goods as specified on the site . 
",Other
"9gag , inc may change its prices at any time but will provide you reasonable notice of any such changes by posting the new prices on the site and by sending you email notification . 
",Unilateral change
"if you do not wish to pay the new prices , you may cancel the services prior to the change going into effect . 
",Other
"either party may terminate the services at any time by notifying the other party by any means . 
",Unilateral termination
"9gag , inc may also terminate or suspend any and all services and access to the site immediately , without prior notice or liability , if subscriber breaches any of the terms or conditions of this agreement . 
",Unilateral termination
"upon termination of subscriber 's account , subscriber 's right to use the services , access the site , and any content will immediately cease . 
",Other
"all provisions of this agreement which by their nature should survive termination shall survive termination , including , without limitation , ownership provisions , warranty disclaimers , and limitations of liability . 
",Other
"termination of your access to and use of the site and the services shall not relieve subscriber of any obligations arising or accruing prior to such termination or limit any liability which subscriber otherwise may have to 9gag , inc or the site , including without limitation any indemnification obligations contained herein . 
",Other
"please review our privacy policy , which governs the use of personal information on the site and to which subscriber agrees to be bound as a user of the site . 
",Other
"this agreement ( including the privacy policy ) , as modified from time to time , constitutes the entire agreement between you , the site and 9gag , inc with respect to the subject matter hereof . 
",Other
"this agreement replaces all prior or contemporaneous understandings or agreements , written or oral , regarding the subject matter hereof . 
",Other
"the failure of either party to exercise in any respect any right provided for herein shall not be deemed a waiver of any further rights hereunder . 
",Other
"9gag , inc shall not be liable for any failure to perform its obligations hereunder where such failure results from any cause beyond 9gag , inc 's reasonable control , including , without limitation , mechanical , electronic or communications failure or degradation . 
",Limitation of liability
"if any provision of this agreement is found to be unenforceable or invalid , that provision shall be limited or eliminated to the minimum extent necessary so that this agreement shall otherwise remain in full force and effect and enforceable . 
",Other
"this agreement is not assignable , transferable or sublicensable by subscriber except with 9gag , inc 's prior written consent . 
",Other
"9gag , inc may assign this agreement in whole or in part at any time without subscriber 's consent . 
",Other
"this agreement shall be governed by and construed in accordance with the laws of the state of delaware without regard to the conflict of laws provisions thereof . 
",Choice of law
"no agency , partnership , joint venture , or employment is created as a result of this agreement and subscriber does not have any authority of any kind to bind 9gag , inc in any respect whatsoever . 
",Other
"notice and procedure for making claims of copyright or other intellectual property infringements 
",Other
"9gag respects the intellectual property of others and takes the protection of copyrights and all other intellectual property very seriously , and we ask our users to do the same . 
",Other
"infringing activity will not be tolerated on or through the services . 
",Other
"9gag 's intellectual property policy is to ( a ) remove material that 9gag believes in good faith , upon notice from an intellectual property owner or their agent , is infringing the intellectual property of a third party by being made available through the services , and ( b ) remove any subscriber content posted to the services by `` repeat infringers . '' 
",Content removal
"9gag considers a `` repeat infringer '' to be any user that has uploaded subscriber content to the services and for whom 9gag has received more than two takedown notices compliant with the provisions of 17 u.s.c. § 512 ( c ) with respect to such subscriber content . 
",Other
"9gag has discretion , however , to terminate the account of any user after receipt of a single notification of claimed infringement or upon 9gag 's own determination . 
",Unilateral termination
"if you believe that any content made available on or through the services has been used or exploited in a manner that infringes an intellectual property right you own or control , then please promptly send a `` notification of claimed infringement '' containing the following information to the designated agent identified below . 
",Other
"your communication must include substantially the following : 
",Other
"- a physical or electronic signature of a person authorized to act on behalf of the owner of the work ( s ) that has/have been allegedly infringed ; 
",Other
"- identification of works or materials being infringed , or , if multiple works are covered by a single notification , a representative list of such works ; 
",Other
"- identification of the specific material that is claimed to be infringing or to be the subject of infringing activity and that is to be removed or access to which is to be disabled , and information reasonably sufficient to permit 9gag to locate the material ; 
",Other
"- information reasonably sufficient to permit 9gag to contact you , such as an address , telephone number , and , if available , an electronic mail address at which you may be contacted ; 
",Other
"- a statement that you have a good faith belief that the use of the material in the manner complained of is not authorized by the copyright owner , its agent , or the law ; and 
",Other
"- a statement that the information in the notification is accurate , and under penalty of perjury , that you are authorized to act on behalf of the owner of an exclusive right that is allegedly infringed . 
",Other
"you should consult with your own lawyer and/or see 17 u.s.c. § 512 to confirm your obligations to provide a valid notice of claimed infringement . 
",Other
"9gag 's designated agent for notices of claimed infringement can be contacted at : 
",Other
"16/f , king palace plaza , 
",Other
"if you receive a notification from 9gag that material made available by you on or through the services has been the subject of a notification of claimed infringement , then you will have the right to provide 9gag with what is called a `` counter notification . '' 
",Other
"to be effective , a counter notification must be in writing , provided to 9gag 's designated agent through one of the methods identified immediately above , and include substantially the following information : 
",Other
"- a physical or electronic signature of the subscriber ; 
",Other
"- identification of the material that has been removed or to which access has been disabled and the location at which the material appeared before it was removed or access to it was disabled ; 
",Other
"- a statement under penalty of perjury that the subscriber has a good faith belief that the material was removed or disabled as a result of mistake or misidentification of the material to be removed or disabled ; and 
",Other
"- the subscriber 's name , address , and telephone number , and a statement that the subscriber consents to the jurisdiction of federal district court for the judicial district in which the address is located , or if the subscriber 's address is outside of the united states , for any judicial district in which 9gag may be found , and that the subscriber will accept service of process from the person who provided a notification of claimed infringement as set forth above or an agent of such person . 
",Other
"a party submitting a counter notification should consult a lawyer or see 17 u.s.c. § 512 to confirm the party 's obligations to provide a valid counter notification under the copyright act . 
",Other
"9gag actions following receipt of counter notification 
",Other
"upon receipt of a counter notification , 9gag shall promptly provide the party submitting a notification of claimed infringement with a copy of the counter notification , and 9gag will replace the removed material or cease disabling access to it in not less than 10 , nor more than fourteen ( 14 ) , business days following receipt of the counter notice , unless 9gag 's designated agent first receives notice from the person who submitted the notification of claimed infringement that such person has filed an action seeking a court order to restrain the subscriber from engaging in infringing activity relating to the material on 9gag 's system or network . 
",Other
"false notifications of claimed infringement or counter notifications 
",Other
"the copyright act provides that : 
",Other
"the copyright act provides that : 
",Other
"17 u.s.c. § 512 ( f ) . 
",Other
"9gag reserves the right to seek damages from any party that submits a notification of claimed infringement or counter notification in violation of the law . 
",Other
"for the avoidance of doubt , only notices submitted under the digital millennium copyright act and the procedures set forth in this agreement should be sent to the designated agent at copyright@9gag.com or to the postal address identified above . 
",Other
"any other comments , compliments , complaints or suggestions about 9gag , the operation of the services or any other matter should be sent to support@9gag.com . 
",Other
"these terms and conditions , as may be amended from time to time , apply to all our services directly or indirectly ( through distributors ) made available online , through any mobile device , by email or by telephone . 
",Unilateral change
"by accessing , browsing and using our ( mobile ) website or any of our applications through whatever platform ( hereafter collectively referred to as the `` website '' ) and/or by completing a reservation , you acknowledge and agree to have read , understood and agreed to the terms and conditions set out below ( including the privacy statement ) . 
",Contract by using
"these pages , the content and infrastructure of these pages , and the online reservation service provided on these pages and through the website are owned , operated and provided by booking.com b.v. and are provided for your personal , non-commercial use only , subject to the terms and conditions set out below . 
",Other
"`` booking.com '' , `` us '' , `` we '' or `` our '' means booking.com b.v. , a limited liability company incorporated under the laws of the netherlands , and having its registered address at herengracht 597 , 1017 ce , amsterdam , the netherlands . 
",Other
"`` platform '' means the ( mobile ) website and app on which the service is made available owned , controlled , managed , maintained and/or hosted by booking.com . 
",Other
"`` service '' means the online reservation service ( including the facilitation of payments ) of various products and services as from time to time made available by suppliers on the platform . 
",Other
"`` supplier '' means the provider of accommodation ( e.g. hotel , motel , apartment , bed & breakfast ) , ( theme ) parks , attractions , museums , sightseeing tours , cruises , rail and coach tours , transfers , tour operators , insurances , and any other travel or related product or service as from time to time available for reservation on the platform . 
",Other
"through the platform , we ( booking.com b.v. and its affiliate ( distribution ) partners ) provide an online platform through which suppliers can advertise their products and service for reservation , and through which visitors of the platform can make such reservations ( i.e. the reservation service ) . 
",Other
"by making a reservation through booking.com , you enter into a direct ( legally binding ) contractual relationship with the supplier with which you make a reservation or purchase a product or service ( as applicable ) . 
",Other
"from the point at which you make your reservation , we act solely as an intermediary between you and the supplier , transmitting the details of your reservation to the relevant supplier ( s ) and sending you a confirmation email for and on behalf of the supplier . 
",Other
"when rendering our service , the information that we disclose is based on the information provided to us by suppliers . 
",Other
"as such , the suppliers are given access to an extranet through which they are fully responsible for updating all rates , availability and other information which is displayed on our platform . 
",Other
"although we will use reasonable skill and care in performing our service , we will not verify if , and can not guarantee that , all information is accurate , complete or correct , nor can we be held responsible for any errors ( including manifest and typographical errors ) , any interruptions ( whether due to any ( temporary and/or partial ) breakdown , repair , upgrade or maintenance of our platform or otherwise ) , inaccurate , misleading or untrue information or non-delivery of information . 
",Other
"each supplier remains responsible at all times for the accuracy , completeness and correctness of the ( descriptive ) information ( including the rates and availability ) displayed on our platform . 
",Other
"our platform does not constitute and should not be regarded as a recommendation or endorsement of the quality , service level , qualification or ( star ) rating of any supplier ( or its facilities , venue , products or services ) made available . 
",Other
"our service is made available for personal and non-commercial use only . 
",Other
"therefore , you are not allowed to re-sell , deep-link , use , copy , monitor ( e.g. spider , scrape ) , display , download or reproduce any content or information , software , reservations , tickets , products or services available on our platform for any commercial or competitive activity or purpose . 
",Other
"prices , crossed-out rates and best price guarantee 
",Other
"the prices on our platform are highly competitive . 
",Other
"all room prices are per room for your entire stay and all prices are displayed including vat/sales tax and all other taxes ( subject to change of such taxes ) , unless stated differently on our platform or the confirmation email/ticket . 
",Other
"ticket prices are per person or group and subject to validity as indicated on the ticket , if applicable . 
",Other
"applicable fees and taxes ( including tourist/city tax ) may be charged by the supplier in the event of a no-show or cancellation fee . 
",Other
"applicable taxes may be charged by the accommodation in the event of a no-show or cancellation fee . 
",Other
"sometimes cheaper rates are available on our platform for a specific stay , product or service , however , these rates made available by suppliers may carry special restrictions and conditions , for example non-cancelable and non-refundable . 
",Other
"please check the relevant product , service and reservation conditions and details thoroughly for any such conditions prior to making your reservation . 
",Other
"the crossed-out rate shown for rooms is based on the third highest current price of the supplier for your product or service with the same booking conditions in a 30-day window around your check-in date ( 15 days before and 15 days after check-in date ; if less than 15 days are between today and the check-in date , we will use the corresponding number of days after the check-in date to result in a 30-day total ) . 
",Other
"to ensure we are making a fair comparison , we always use the same reservation conditions ( e.g. meal plan , cancellation policy and room type ) . 
",Other
"this means that you get the same room for a lower price compared to other check-in dates at the same time of year . 
",Other
"we want you to pay the lowest price possible for your product and service of choice . 
",Other
"should you find your product or service of choice booked through the platform , with the same reservation conditions , at a lower rate on the internet after you have made a reservation through us , we will match the difference between our rate and the lower rate under the terms and conditions of the best price guarantee . 
",Other
"the currency converter is for information purposes only and should not be relied upon as accurate and real time ; actual rates may vary . 
",Other
"obvious errors and mistakes ( including misprints ) are not binding . 
",Other
"all special offers and promotions are marked as such . 
",Other
"please have a look at our privacy and cookies policy for further information . 
",Other
"our service is free of charge because , unlike many other parties , we will not charge you for our service or add any additional ( reservation ) fees to the rate . 
",Other
"suppliers pay a commission ( being a small percentage of the product price ( e.g. room price ) ) to booking.com after the end user has consumated the service or product of the supplier or after the guest has stayed at ( and paid ) the accommodation . 
",Other
"if applicable and available , certain suppliers offer the opportunity for reservations to be paid ( wholly or partly and as required under the payment policy of the accommodation ) to the supplier during the reservation process by means of secure online payment ( all to the extent offered and supported by your bank ) . 
",Other
"for certain products and services , booking.com facilitates ( through third party payment processors ) the payment of the relevant product or service ( i.e. the payment facilitation service ) at the election of the supplier ( booking.com never acts nor operates as the merchant of record ) . 
",Other
"payment is safely processed from your credit/debit card or bank account to the bank account of the supplier through a third-party payment processor . 
",Other
"any payment facilitated to the supplier in this manner will , in each case , constitute a payment of ( part of ) the booking price by you of the relevant product or service in the final settlement ( bevrijdende betaling ) of such ( partial ) due and payable price and you can not reclaim such paid monies . 
",Other
"when a reservation is paid by credit or debit card , it will be processed by enett international usa , llc ( for credit or debit cards issued in the united states excluding american express ) or enett international ( uk ) limited ( trading as `` hotel booking services '' ) ( for all other cards and all american express cards ) , which act as an independent third party and the merchant of record . 
",Other
"enett international usa , llc ( for credit or debit cards issued in the united states excluding american express ) or enett international ( uk ) limited ( for all other cards and all american express cards ) is appointed by , and has contractual relationship with , the supplier to process your reservation payment as the supplier 's agent . 
",Other
"enett international usa , llc ( for credit or debit cards issued in the united states excluding american express ) or enett international ( uk ) limited ( for all other cards and all american express cards ) will be identified as the merchant of record . 
",Other
"upon receipt of payment by enett international usa , llc ( for credit or debit cards issued in the united states excluding american express ) or enett international ( uk ) limited ( for all other cards and all american express cards ) , your obligation to the accommodation provider is extinguished . 
",Other
"although enett international usa , llc ( for credit or debit cards issued in the united states excluding american express ) or enett international ( uk ) limited ( for all other cards and all american express cards ) take ultimate responsibility for the credit card or debit card payment , booking.com will take care of customer support in case of questions related to a reservation paid by credit card or debit card . 
",Other
"if you are paying a reservation by credit card or debit card processed by enett international ( uk ) limited , the transaction shall be governed by the laws of england and wales , to the extent permitted by applicable laws . 
",Choice of law
"for certain ( i.e. non-refundable ) rates or special offers , please note that suppliers may require that payment is made upfront by wire transfer ( if available ) or by credit card or debit card , and therefore your credit card may be pre-authorised or charged ( sometimes without any option for refund ) upon making the reservation . 
",Other
"please check the ( reservation ) details of your product or service of choice thoroughly for any such conditions prior to making your reservation . 
",Other
"you will not hold booking.com or ems liable or responsible for any ( authorized , ( allegedly ) unauthorized or wrong ) charge by the supplier and not ( re ) claim any amount for any valid or authorized charge by the supplier ( including for pre-paid rates , no-show and chargeable cancellation ) of your credit card or debit card . 
",Other
"in the event of fraud or unauthorised use of your credit card by third parties , most banks and credit card companies bear the risk and cover all the charges resulting from such fraud or misuse , which may sometimes be subject to a deductible ( usually set at eur 50 ( or the equivalent in your local currency ) ) . 
",Other
"in the event that your credit card company or bank charges the deductible from you because of unauthorised transactions resulting from a reservation made on our platform , we will pay you this deductible , up to an aggregate amount of eur 50 ( or the equivalent in your local currency ) . 
",Other
"in order to indemnify you , please make sure that you report this fraud to your credit card provider ( in accordance with its reporting rules and procedures ) and contact us immediately by email ( customer.relations@booking.com ) . 
",Other
"please state ` credit card fraud ' in the subject line of your email and provide us with evidence of the charged deductible ( e.g. policy of the credit card company ) . 
",Other
"this indemnification only applies to credit card reservations made using booking.com 's secure server and the unauthorised use of your credit card resulted through our default or negligence and through no fault of your own while using the secure server . 
",Other
"pre-payment , cancellation , no-show and fine print 
",Other
"by making a reservation with a supplier , you accept and agree to the relevant cancellation and no-show policy of that supplier , and to any additional ( delivery ) terms and conditions of the supplier that may apply to your visit or stay ( including the fine print of the supplier made available on our platform and the relevant house rules of the supplier ) , including for services rendered and/or products offered by the accommodation provider ( the delivery terms and conditions of an accommodation provider can be obtained with the relevant accommodation provider ) . 
",Other
"the general cancellation and no-show policy of each supplier is made available on our platform on the supplier information pages , during the reservation procedure and in the confirmation email or ticket ( if applicable ) . 
",Other
"please note that certain rates or special offers are not eligible for cancellation or change . 
",Other
"applicable city/tourist tax may still be charged by the supplier in the event of a no-show or charged cancellation . 
",Other
"please check the ( reservation ) details of your product or service of choice thoroughly for any such conditions prior to making your reservation . 
",Other
"please note that a reservation which requires down payment or ( wholly or partly ) prepayment may be cancelled ( without a prior notice of default or warning ) insofar the relevant ( remaining ) amount ( s ) can not be collected in full on the relevant payment date in accordance with the relevant payment policy of the supplier and the reservation . 
",Other
"cancellation and prepayment policies may vary according to room type . 
",Other
"please carefully read the fine print ( below the room types or at the bottom of each supplier page on our platform ) and important information in your reservation confirmation for additional policies as may be applied by the supplier ( e.g. in respect of age requirement , security deposit , non-cancellation/additional supplements for group bookings , extra beds/no free breakfast , pets/cards accepted ) . 
",Other
"late payment , wrong bank , debit or credit card details , invalid credit/debit cards or insufficient funds are for your own risk and account and you shall not be entitled to any refund of any ( non-refundable ) prepaid amount unless the supplier agrees or allows otherwise under its ( pre ) payment and cancellation policy . 
",Other
"if you wish to review , adjust or cancel your reservation , please revert to the confirmation email and follow the instructions therein . 
",Other
"please note that you may be charged for your cancellation in accordance with the accommodation provider 's cancellation , ( pre ) payment and no-show policy or not be entitled to any repayment of any ( pre ) paid amount . 
",Other
"we recommend that you read the cancellation , ( pre ) payment and no-show policy of the accommodation provider carefully prior to making your reservation and remember to make further payments on time as may be required for the relevant reservation . 
",Other
"if you have a late or delayed arrival on the check-in date or only arrive the next day , make sure to ( timely/promptly ) communicate this with the supplier so they know when to expect you to avoid cancellation of your reservation or room or charge of the no-show fee . 
",Other
"our customer service department can help you if needed with informing the supplier . 
",Other
"booking.com does not accept any liability or responsibility for the consequences of your delayed arrival or any cancellation or charged no-show fee by the supplier . 
",Other
"( further ) correspondence and communication 
",Other
"by completing a booking , you agree to receive ( i ) an email which we may send you shortly prior to your arrival date , giving you information on your destination and providing you with certain information and offers ( including third party offers to the extent that you have actively opted in for this information ) relevant to your reservation and destination , and ( ii ) an email which we may send to you promptly after your stay inviting you to complete our guest review form . 
",Other
"please see our privacy and cookies policy for more information about how we may contact you . 
",Other
"booking.com disclaims any liability or responsibility for any communication with the supplier on or through its platform . 
",Limitation of liability
"you can not derive any rights from any request to , or communication with the supplier or ( any form of ) acknowledgement of receipt of any communication or request . 
",Other
"booking.com can not guarantee that any request or communication will be ( duly and timely ) received/read by , complied with , executed or accepted by the supplier . 
",Other
"in order to duly complete and secure your reservation , you need to use your correct email address . 
",Other
"we are not responsible or liable for ( and have no obligation to verify ) any wrong or misspelled email address or inaccurate or wrong ( mobile ) phone number or credit card number . 
",Limitation of liability
"any claim or complaint against booking.com or in respect of the service must be promptly submitted , but in any event within 30 days after the scheduled day of consummation of the product or service ( e.g. check out date ) . 
",Other
"any claim or complaint that is submitted after the 30 days period , may be rejected and the claimant shall forfeit its right to any ( damage or cost ) compensation . 
",Other
"due to the continuous update and adjustments of rates and availability , we strongly suggest to make screenshots when making a reservation to support your position ( if needed ) . 
",Other
"ranking , preferred programme , stars and guest reviews 
",Other
"the default setting of the ranking of suppliers on our platform is ` recommended ' ( or any similar wording ) ( the `` default ranking '' ) . 
",Other
"for your convenience we also offer other ways to rank supplier . 
",Other
"please note that the default ranking is created through a fully automatic ranking system ( algorithm ) and based on multiple criteria , which include not only the popularity of a supplier among our visitors , but also customer service history and certain booking-related data ( number of bookings , cancellations , conversion rate , etc ) . 
",Other
"on-time payment of commission by a supplier and the commission percentage are also included in the algorithm ; however , they are two of the several ( but definitely not leading ) factors in the default ranking . 
",Other
"in certain cities and regions , booking.com operates a preferred partnership program , allowing certain suppliers that meet and maintain the preferred program terms to be listed ahead of the rest of the suppliers in the default `` recommended '' ranking for the relevant city/region . 
",Other
"the preferred suppliers are marked with a `` thumbs-up '' symbol and in return for this high ranking , the preferred supplier pays a higher commission . 
",Other
"only suppliers that meet and maintain certain qualification criteria can be listed as preferred . 
",Other
"the stars used for non-hotel accommodations ( e.g. bed & breakfasts ) do not correspond to the star ranking system as may be applicable to hotel accommodations . 
",Other
"the completed guest review may be ( a ) uploaded onto the relevant supplier 's information page on our platform for the sole purpose of informing ( future ) customers of your opinion of the service ( level ) and quality of the supplier , and ( b ) ( wholly or partly ) used and placed by booking.com at its sole discretion ( e.g. for marketing , promotion or improvement of our service ) on our platform or such social media platforms , newsletters , special promotions , apps or other channels owned , hosted , used or controlled by booking.com and our business partners . 
",Other
"we reserve the right to adjust , refuse or remove reviews at our sole discretion . 
",Content removal
"the guest review form should be regarded as a survey and does not include any ( further commercial ) offers , invitations or incentives whatsoever . 
",Other
"subject to the limitations set out in these terms and conditions and to the extent permitted by law , we shall only be liable for direct damages actually suffered , paid or incurred by you due to an attributable shortcoming of our obligations in respect to our services , up to an aggregate amount of the aggregate cost of your reservation as set out in the confirmation email ( whether for one event or series of connected events ) . 
",Limitation of liability
"however and to the extent permitted by law , neither we nor any of our officers , directors , employees , representatives , subsidiaries , affiliated companies , distributors , affiliate ( distribution ) partners , licensees , agents or others involved in creating , sponsoring , promoting , or otherwise making available the site and its contents shall be liable for ( i ) any punitive , special , indirect or consequential loss or damages , any loss of production , loss of profit , loss of revenue , loss of contract , loss of or damage to goodwill or reputation , loss of claim , ( ii ) any inaccuracy relating to the ( descriptive ) information ( including rates , availability and ratings ) of the supplier as made available on our platform , ( iii ) the services rendered or the products offered by the supplier or other business partners , ( iv ) any ( direct , indirect , consequential or punitive ) damages , losses or costs suffered , incurred or paid by you , pursuant to , arising out of or in connection with the use , inability to use or delay of our platform , or ( v ) any ( personal ) injury , death , property damage , or other ( direct , indirect , special , consequential or punitive ) damages , losses or costs suffered , incurred or paid by you , whether due to ( legal ) acts , errors , breaches , ( gross ) negligence , willful misconduct , omissions , non-performance , misrepresentations , tort or strict liability by or ( wholly or partly ) attributable to the supplier or any of our other business partners ( including any of their employees , directors , officers , agents , representatives or affiliated companies ) whose products or service are ( directly or indirectly ) made available , offered or promoted on or through the platform , including any ( partial ) cancellation , overbooking , strike , force majeure or any other event beyond our control . 
",Limitation of liability
"whether or not the supplier has charged you for your room , product or service , or if we are facilitating the payment of the ( room/reservation ) price , you agree and acknowledge that the supplier is at all times responsible for the collection , withholding , remittance and payment of the applicable taxes due on the total amount of the ( room/reservation ) price to the relevant tax authorities . 
",Other
"booking.com is not liable or responsible for the remittance , collection , withholding or payment of the relevant taxes due on the ( room/reservation ) price to the relevant tax authorities . 
",Other
"booking.com does not act as the merchant of record for any product or service made available on the platform . 
",Other
"by uploading photos/images onto our system ( for instance in addition to a review ) you certify , warrant and agree that you own the copyright to the photos/images and that you agree that booking.com may use the uploaded photos/images on its ( mobile ) website and app , and in ( online/offline ) promotional materials and publications and as booking.com at its discretion sees fit . 
",Other
"you are granting booking.com a non-exclusive , worldwide , irrevocable , unconditional , perpetual right and license to use , reproduce , display , have reproduced , distribute , sublicense , communicate and make available the photos/images as booking.com at its discretion sees fit . 
",Other
"by uploading these photos/images the person uploading the picture ( s ) accepts full legal and moral responsibility of any and all legal claims that are made by any third parties ( including , but not limited to , accommodation owners ) due to booking.com publishing and using these photos/images . 
",Other
"booking.com does not own or endorse the photos/images that are uploaded . 
",Other
"the truthfulness , validity and right to use of all photos/images is assumed by the person who uploaded the photo , and is not the responsibility of booking.com . 
",Other
"booking.com disclaims all responsibility and liability for the pictures posted . 
",Other
"the person who uploaded the photo warrants that the photos/images shall not contain any viruses , trojan horses or infected files and shall not contain any pornographic , illegal , obscene , insulting , objectionable or inappropriate material and does not infringe any third party ( intellectual property right , copyright or privacy ) rights . 
",Other
"any photo/image that does not meet the aforesaid criteria will not be posted and/or can be removed/deleted by booking.com at any time and without prior notice . 
",Content removal
"unless stated otherwise , the software required for our services or available at or used by our platform and the intellectual property rights ( including the copyrights ) of the contents and information of and material on our platform are owned by booking.com b.v. , its suppliers or providers . 
",Other
"booking.com exclusively retains ownership of all rights , title and interest in and to ( all intellectual property rights of ) ( the look and feel ( including infrastructure ) of ) the platform on which the service is made available ( including the guest reviews and translated content ) and you are not entitled to copy , scrape , ( hyper - / deep ) link to , publish , promote , market , integrate , utilize , combine or otherwise use the content ( including any translations thereof and the guest reviews ) or our brand without our express written permission . 
",Other
"to the extent that you would ( wholly or partly ) use or combine our ( translated ) content ( including guest reviews ) or would otherwise own any intellectual property rights in the platform or any ( translated ) content or guest reviews , you hereby assign , transfer and set over all such intellectual property rights to booking.com . 
",Other
"any unlawful use or any of the aforementioned actions or behaviour will constitute a material infringement of our intellectual property rights ( including copyright and database right ) . 
",Other
"to the extent permitted by law , these terms and conditions and the provision of our services shall be governed by and construed in accordance with dutch law and any dispute arising out of these general terms and conditions and our services shall exclusively be submitted to the competent courts in amsterdam , the netherlands . 
","Choice of law, Jurisdiction"
"the original english version of these terms and conditions may have been translated into other languages . 
",Other
"the translated version is a courtesy and office translation only and you can not derive any rights from the translated version . 
",Other
"in the event of a dispute about the contents or interpretation of these terms and conditions or inconsistency or discrepancy between the english version and any other language version of these terms and conditions , the english language version to the extent permitted by law shall apply , prevail and be conclusive . 
",Other
"the english version is available on our platform ( by selecting the english language ) or shall be sent to you upon your written request . 
",Other
"if any provision of these terms and conditions is or becomes invalid , unenforceable or non-binding , you shall remain bound by all other provisions hereof . 
",Other
"in such event , such invalid provision shall nonetheless be enforced to the fullest extent permitted by applicable law , and you will at least agree to accept a similar effect as the invalid , unenforceable or non-binding provision , given the contents and purpose of these terms and conditions . 
",Other
"about booking.com and the support companies 
",Other
"the online reservation service is rendered by booking.com b.v. , which is a private limited liability company , incorporated under the laws of the netherlands and having its offices at herengracht 597 , 1017 ce amsterdam , the netherlands and registered with the trade register of the chamber of commerce in amsterdam under registration number 31047344 . 
",Other
"our vat registration number is nl805734958b01 . 
",Other
"booking.com has its headquarters in amsterdam , the netherlands and is supported by various affiliated group companies ( the `` support companies '' ) throughout the world . 
",Other
